duration,probability,cumulative_prob
0.0,0.03754266211604096,0.03754266211604096
1.0,0.09556313993174062,0.13310580204778158
2.0,0.12627986348122866,0.2593856655290102
3.0,0.09897610921501707,0.3583617747440273
4.0,0.09556313993174062,0.4539249146757679
5.0,0.05802047781569966,0.5119453924914675
6.0,0.06143344709897611,0.5733788395904437
7.0,0.05460750853242321,0.6279863481228669
8.0,0.10238907849829351,0.7303754266211604
9.0,0.15358361774744028,0.8839590443686007
10.0,0.03754266211604096,0.9215017064846417
11.0,0.020477815699658702,0.9419795221843004
12.0,0.010238907849829351,0.9522184300341298
13.0,0.013651877133105802,0.9658703071672355
14.0,0.010238907849829351,0.9761092150170649
15.0,0.006825938566552901,0.9829351535836178
16.0,0.010238907849829351,0.9931740614334472
17.0,0.0034129692832764505,0.9965870307167237
18.0,0.0034129692832764505,1.0000000000000002
