,connectionTime,probability,cumulative_prob
0,0,0.05351170568561873,0.05351170568561873
1,1,0.056856187290969896,0.11036789297658862
2,2,0.033444816053511704,0.14381270903010032
3,3,0.033444816053511704,0.17725752508361203
4,4,0.013377926421404682,0.1906354515050167
5,5,0.013377926421404682,0.20401337792642138
6,6,0.010033444816053512,0.21404682274247488
7,11,0.006688963210702341,0.22073578595317722
8,12,0.0033444816053511705,0.2240802675585284
9,13,0.033444816053511704,0.2575250836120401
10,14,0.046822742474916385,0.30434782608695643
11,15,0.21739130434782608,0.5217391304347825
12,16,0.1605351170568562,0.6822742474916387
13,17,0.0802675585284281,0.7625418060200668
14,18,0.06354515050167224,0.826086956521739
15,19,0.043478260869565216,0.8695652173913042
16,20,0.043478260869565216,0.9130434782608694
17,21,0.04013377926421405,0.9531772575250834
18,22,0.023411371237458192,0.9765886287625416
19,23,0.023411371237458192,0.9999999999999998
