,PD_1_0,QD_1_0,PD_2_1,QD_2_1,PD_2_2,QD_2_2,PD_2_3,QD_2_3,PD_3_4,QD_3_4,PD_3_5,QD_3_5,PD_3_6,QD_3_6,PD_4_7,QD_4_7,PD_4_8,QD_4_8,PD_4_9,QD_4_9,PD_4_10,QD_4_10,PD_5_11,QD_5_11,PD_5_12,QD_5_12,PD_5_13,QD_5_13,PD_5_14,QD_5_14,PV_1_0,Delta_t,Ti,Gv,Ph,pt
0,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,0.7863993483812255,0.1137179425615598,2.5e-05,1.0,4.9,0.084,10.7002566,0.06243
1,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.6436387285958626,0.09410673646254623,0.0,1.0,8.4,0.202,10.460387300000002,0.06015
2,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.5499462792404297,0.10326750994320923,0.0,1.0,10.8,0.315,10.046699666666665,0.05723
3,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.5264812700323266,0.09850692062460885,0.0,1.0,12.9,0.375,9.560008333333332,0.05266
4,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.4993041061280909,0.09279274014578748,0.0,1.0,15.1,0.39,8.922674444444443,0.05497
5,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.5370144192035973,0.09131649705186484,0.0,1.0,15.9,0.351,8.628342066666667,0.06119
6,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.9497567764779987,0.09994412136125712,0.0,1.0,12.6,0.249,8.214654433333331,0.06153
7,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,1.5282941613767096,0.10336879907764754,2.5e-05,1.0,11.9,0.1,7.995643333333335,0.06481
8,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,1.5018663529052547,0.10519071436309872,0.0,1.0,10.5,0.01,7.879764444444444,0.06973
9,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,1.3502224244177117,0.10052199692805844,0.37577499999999997,1.0,8.9,0.0,7.995643333333335,0.0802
